likes_per_minute,video_id,video_title,upload_date,upload_time,view_count,like_count,comment_count,video_duration,tags,day,duration,minutes,interaction_score,Sort_order
59062,7trIdY1assg,How Bad Are These Cheap Ebay Bikes? | GCN Presenter Challenge,22/12/2017,00:00.0,1892448,29531,1605,00:24:00,"['GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'passo gardena', 'gardena pass', 'training', 'spinning', 'turbo', 'trainer', 'indoor cycling', 'rollers', 'workout', 'session', 'hill sprints', 'hill climb', 'hill attacks', 'fit', 'fitness', 'effort', 'power', 'dolomites', 'alta badia', 'cadence', 'spin', 'train', 'GCN Cycling', 'Cycling Tips', 'cycling workout', 'cycling training', 'velo', 'matt stephens', 'sec-feature', 'plts', 'plsp', 'sca15', 'gc11shs', 'gc04s1', 'c3', 'c1', 'h3', 'gc11sas', 'p1', 'z2', '?', 'gc25b', '?', '?', '?', '?']",Friday,0min,0,2.4,1
37612,BxkSmu05hgQ,Yes This Is A Normal Size Bike! #shorts,08/01/2022,00:09.0,899385,18806,221,00:19:00,"['gcn', 'gcn shorts', 'global cycling network', 'conor dunne', 'manon lloyd', 'saddle', 'saddle too low', 'saddle height', '?27']",Saturday,0min,0,2.33,1
31064,QB69Pwl6GI8,Indoor Cycling Workout | 60 Minute Endurance Intervals: Fitness Training,09/12/2019,52:49.0,1373103,15532,687,00:11:00,"['spin', 'spin class', 'spinning', 'workout', 'fat burning', 'burn', 'burn fat', 'interval', 'intervals', 'effort', 'training', 'train', 'high intensity training', 'interval training', 'cycling workout', 'spinning class', '60 minute', 'spin workout', 'training video', 'indoor cycling', 'turbo trainer', 'wahoo', 'wahoo bike', 'fitness', 'gym bike', 'class', 'threshold', 'cadence', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'GCN Cycling', 'velo', 'sec-feature', 'gc11shs', 'c3', 'p1', '?', '?', 'b3', '?', '?', '?', '?', '?', '?2', '3808']",Monday,0min,0,1.62,1
30352,whrdmZ4rucE,The Superman! #Shorts,27/01/2022,00:28.0,302358,15176,283,00:19:00,['?27'],Thursday,0min,0,5.92,1
26276,WzB20OftfiI,Making The Coolest Team In Pro Cycling: L39ION Of LA & Justin Williams,15/02/2020,00:11.0,428567,13138,998,00:26:00,"['cool', 'coolest', 'pro', 'pro team', 'justin', 'williams', 'L39GION', 'Legion', 'road', 'criterium', 'LA', 'amateur', 'sprint', 'sprinter', 'fast', 'cylance', 'astellas', 'livestrong', 'national', 'champion', 'national champion', 'USA', 'america', 'american', 'california', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'GCN Cycling', 'velo', 'Jeremy', 'Powers', 'sec-feature', '?', 'gc11shs', '?', 'c3', '?', '?', '?', '?', '?', '?', '?', '?', '?15', '3876']",Saturday,0min,0,5.37,1
20746,MfGsUFw5PhE,Functional Threshold Power: Does It Really Matter? | GCN Does Science,03/06/2018,00:03.0,583450,10373,666,00:47:00,"['GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'ftp', 'threshold', 'functional threshold power', 'power', 'effort', 'intervals', 'threshold test', 'testing', 'power test', 'training', 'improve power', 'sprint', 'sprints', 'gmbn', 'sprinting', 'science', 'gcn science', 'GCN Cycling', 'Cycling Tips', 'cycling workout', 'cycling training', 'velo', 'simon richardson', 'blake samson', 'louis passfield', 'professor passfield', 'sec-feature', 'plsc', 'sca15', 'gc11shs', 'c3', 'r1', 'h3', 'gc11sas', '?', 'p1', '?', '?', '?', '?', '?', '?']",Sunday,0min,0,2.9,1
18452,Xax4KTj4DX8,Conor Can't Climb! #shorts,20/04/2022,00:24.0,473271,9226,142,00:29:00,"['climb', 'steepest', 'steep', 'climbing', 'england', 'fail', 'failure', 'fails', 'road fail', 'cycling fail', 'super bike', 'superbike', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'GCN Cycling', 'velo', '?27', 'sca15', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Wednesday,0min,0,2.24,1
18334,b_FYOnOin2I,Bike Handling Skills Tips! #shorts,06/03/2022,00:27.0,471332,18334,124,01:00:00,"['skill', 'skills', 'handling', 'bike handling', 'handle', 'control', 'tip', 'tips', 'tricks', 'balance', 'practice', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'GCN Cycling', 'velo', '?27', 'sca15', 'r1', '?', '?', '?', '?', '?', '?', '?', '?']",Sunday,0min,1,4.14,1
15028,gwPygsEOqA4,The Hardest Ride: Can We Make The Time Cut?! | We Made Our Own Epic Giro Stage,29/05/2021,00:30.0,237761,7514,534,00:51:00,"['giro', ""giro d'italia"", 'giro ditalia', 'italy', 'italia', 'grand tour', 'stage race', 'queens stage', 'elevation', 'km', 'long', 'hard', 'hardest stage', 'mountain', 'exmoor', 'dorset', 'climbing', 'tough', 'time cut', 'rain', 'weather', 'hanks dad', 'dad', 'hanks', 'porlock', 'dunkery', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'james', 'lowsley', 'williams', 'hank', 'conor', 'dunne', 'sec-feature', 'gc21s', '?', '?', 'r1', '?', '?', '?', '?', 'n1', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?15', '?', '?', '?', '4345']",Saturday,0min,0,5.38,1
10716,UvGoMDy3t_M,GCN's Gravel Challenge | Si Vs Jeremy: Who Can Make The Most Epic Ride?,14/06/2020,00:08.0,273012,5358,587,00:25:00,"['gravel', 'gravel bike', '3t exploro', '3t exploro racemax', 'new 3t gravel bike', 'challenge', 'gravel challenge', 'gravel riding', 'gravel race', 'epic', '650b', 'aero', 'aero bike', 'kom', 'america', 'usa', 'fire road', 'exploring', 'adventure', 'adventure riding', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'simon', 'richardson', 'jeremy', 'powers', 'sec-feature', 'gc11shs', '?', 'c3', 'gc11sas', 'n1', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?15', '?', '?', '?', '3996', 'gravel road']",Sunday,0min,0,4.07,1
